DATA_YEAR,NIBRS_MONTH_ID,AGENCY_ID,MONTH_NUM,,,
2018,8574806,6277,11,,,
2018,8574807,6277,12,,,
2018,8364145,6228,1,,,
2018,7998057,6228,2,,,
2018,7998059,6228,3,,,
2018,8368806,6228,4,,,
2018,8362382,6228,5,,,
2018,8364144,6228,6,,,
2018,8362384,6228,7,,,
2018,8364146,6228,8,,,
2018,8433773,6228,9,,,
2018,8435929,6228,10,,,
2018,8437454,6228,11,,,
2018,8436068,6228,12,,,
2018,7978202,6242,1,,,
2018,7978204,6242,2,,,
2018,7978205,6242,3,,,
2018,7994766,6242,4,,,
2018,7994767,6242,5,,,
2018,8368808,6242,6,,,
2018,8433843,6242,7,,,
2018,8433844,6242,8,,,
2018,8433842,6242,9,,,
2018,8436012,6242,10,,,
2018,8433896,6242,11,,,
2018,8575573,6242,12,,,
2018,7835049,6071,1,,,
2018,7924676,6071,2,,,
2018,7953506,6071,3,,,
2018,7977695,6071,4,,,
2018,7994563,6071,5,,,
2018,8368713,6071,6,,,
2018,8368714,6071,7,,,
2018,8362279,6071,8,,,
2018,8433716,6071,9,,,
2018,8433717,6071,10,,,
2018,8433877,6071,11,,,
2018,8437419,6071,12,,,
2018,7925736,6189,1,,,
2018,7978119,6189,2,,,
2018,7978120,6189,3,,,
2018,7994654,6189,4,,,
2018,8364115,6189,5,,,
2018,8368777,6189,6,,,
2018,8368778,6189,7,,,
2018,8368779,6189,8,,,
2018,8433768,6189,9,,,
2018,8436004,6189,10,,,
2018,8575557,6189,11,,,
2018,8479679,6189,12,,,
2018,8479725,6336,1,,,
2018,8574866,6336,2,,,
2018,8574867,6336,3,,,
2018,8574868,6336,4,,,
2018,7835157,6143,1,,,
2018,7925015,6143,2,,,
2018,7953973,6143,3,,,
2018,7978059,6143,4,,,
2018,7994634,6143,5,,,
2018,8362329,6143,6,,,
2018,8362331,6143,7,,,
2018,8364092,6143,8,,,
2018,8435911,6143,9,,,
2018,8435912,6143,10,,,
2018,8437439,6143,11,,,
2018,8437440,6143,12,,,
2018,7930752,6126,1,,,
2018,7953953,6126,2,,,
2018,7978039,6126,3,,,
2018,7978040,6126,4,,,
2018,7994590,6126,5,,,
2018,8362313,6126,6,,,
2018,8362314,6126,7,,,
2018,8364084,6126,8,,,
2018,8435901,6126,9,,,
2018,8435995,6126,10,,,
2018,8479662,6126,11,,,
2018,8574781,6126,12,,,
2018,7924694,6100,1,,,
2018,7953692,6100,2,,,
2018,7977964,6100,3,,,
2018,7977971,6100,4,,,
2018,7994574,6100,5,,,
2018,8362298,6100,6,,,
2018,8364068,6100,7,,,
2018,8368733,6100,8,,,
2018,8437190,6100,9,,,
2018,8433831,6100,10,,,
2018,8436054,6100,11,,,
2018,8437425,6100,12,,,
2018,7925016,6131,1,,,
2018,8362332,6131,2,,,
2018,7978054,6131,3,,,
2018,8368767,6131,4,,,
2018,8362336,6131,5,,,
2018,8362334,6131,6,,,
2018,8435905,6131,7,,,
2018,8368768,6131,8,,,
2018,8437207,6131,9,,,
2018,8437447,6131,10,,,
2018,8696498,6131,11,,,
2018,8437449,6131,12,,,
2018,7836464,6419,1,,,
2018,7927088,6419,2,,,
2018,7955054,6419,3,,,
2018,7979866,6419,4,,,
2018,7995995,6419,5,,,
